ID,Q1,Q2,Q3
1,"The government should pay for research, and private companies should pay for using the results of this research.","For sure one of the factors is that the objects in question are so far away, and we have no control over them. There's garbage in space, but nobody owns it and so there's no incentive to remove it.Also, for private companies it is important to find a leverage that yields the most results, even if you apply just a little bit of pressure. State might afford to invest in a technology that requires significant efforts, but has a diluted impact; but a company would always want to get maximum results for minimum efforts.",
2,"Those who are suffering from space debris are the ones to pay. In other words, everybody. It is a tragedy of commons. If you are not going to space yourself, you are suffering from the problem passively.","You need to find a pain-point. An example of a pain-point is when you want to launch a space asset, you need to avoid the zones of high space debris concentration. Once your asset is in space, it is stuck. The volume of space debris is growing and the market is suffering from not knowing where these space debris are, how many they are and what size they are. So, two key questions to ask: what is the pain-pont and how much does the pain cost?  The technology needs to be clear and intuitive to enter the market. Removing space debris and making space more sustainable seems to have very little incentives right now for private companies. It is good to have EPFL working on it [sustainable space technologies] as a start. If there would be private companies doing sustainable space technologies, their funding would come from governments or companies like SpaceX, because they would understand that they could run out of space in space. So, another factor is to have enough financial resources, like big players do. SpaceX are the market: they have become the benchmark of the market. All companies will look up to what big players do.","Training your model with synthetic images that closely resemble reality can work. Ensure the data makes sense and is interpretable. While curves and graphs are good, they need to be translated into meaningful values for those not involved in the technical details. Add an interface that makes the data comprehensible to a general audience or a business developer. Use synthetic data for initial training and then validate the model with real data to ensure accuracy. A proof of concept shows feasibility but needs to be validated with real data to reach the minimum viable product (MVP) stage. For commercializing space debris removal, understanding the market and incentives is crucial. Entities like EPFL and ClearSpace are beginning to tackle this issue, but larger players like SpaceX may not be the right customers as they have significant resources and market control. Focusing on smaller companies that can benefit from your solution might be more effective. Engage with companies working on debris assessment and data collection to understand how they quantify existing debris. This collaboration can help validate and improve your model. Smaller companies are often more open to discussions and can provide valuable insights and data."
3,"Certainly a combination of both. It is similar to ensuring sustainability on Earth: governments either subsidize companies or make them pay taxes. It is unrealistic to expect companies to bear the financial burden of implementing sustainable technologies alone, in space or any other sector. If only governments make sustainability efforts, the effects will be negligible because companies have an enormous impact on the environment.","First of all, cost. Sustainability is often just a side effect while companies chase cost reduction. For example, Elon Musk’s rockets were designed to make access to space cheaper, but they are also more sustainable because they are reusable. However, this might be false sustainability due to the rebound effect: the less it costs, the more you launch, offsetting the positive effect of reusability. Then, legal compliance. This is how sustainability is pushed on Earth, and space should be no exception. For space, since we cannot directly see what is happening there, we cannot feel how the situation is deteriorating or improving. We, as people, will only start caring about space sustainability when the situation is truly catastrophic. Before that, we will focus on our own, earthly problems. Until a devastating event, like the destruction of communication satellites by space debris, people will not truly care, which means they will not push their governments to act. This, in turn, means there won’t be any regulations in place. Legislation is the most powerful tool to ensure sustainability. Make it mandatory!",
6,"Ideally, all governments should ensure that companies pay, and not only those of the few spacefaring nations but all nations, because every country benefits from space. But in reality, it is like dumping plastic into the ocean: we can regulate it at the United Nations level, but ultimately, policing it must be at the level of national jurisdiction to ensure compliance. For example, if you want to launch something, but the country where you are makes you pay a sustainability tax, you would say, ""OK, then I am going to the US"" and avoid paying the tax. Then there is no sustainability.","As I said previously, it is the jurisdiction. Also, unfortunately, companies will not act unless they perceive a real danger. If there is so much space debris that the risk of collision is catastrophic, it would make economic sense to pay for sustainable solutions. Space debris is not the only problem in space, but from what I know, it is the most urgent one. Companies and governments will first act to solve the most pressing and immediately threatening problem.","I believe such a repository should be open-source. The ultimate goal is to contribute to space sustainability by improving debris tracking and potentially aiding in debris removal, and there is no use in it unless it is a collective effort. The only way to ensure that as many actors as possible are on board is to provide unrestricted access to the technology and persuade them that it is necessary."
7,"It is not easy to commercialize sustainability in space. Governments can subsidize companies. Essentially, governmental money is always involved in sustainability. It is either a technology developed with public money and then rented out to private companies, or it is a governmental order, B2G. There can be an illusion of private activities involved, but in the end, governmental money is behind it.","Nowadays, companies keep launching satellites with relatively few inhibitions. One factor is clear international regulations and criteria for companies to follow. However, jurisdictional issues complicate enforcement, as regulations from entities like the European Union may not apply globally. Space debris is a recognized problem, with some startups beginning to address it. What can really push more startups to enter this market is cutting-edge research at universities, once again, backed by public funding. In other words, a government pays an institution to develop a complicated technology over a long period of time, and then there is a spin-off company using this technology. Another factor is technological capabilities. To be successful on the market, a technology needs to be efficient and solve several key problems at once, for example, reducing costs by reducing fuel consumption, and therefore being greener, which positively contributes to a company’s image.","I have doubts that companies would be able to use such a technology, even if they were willing to pay for it. Concerns about security and jurisdiction arise when observing objects in space, particularly military satellites."
8,"Both, but the main push needs to come from the government, because companies exist to make profit. Anything else would be a burden for a company, so it needs to be either subsidized by the governments, or enforced.","One significant factor is the existence of international agreements like the charter for space sustainability established by ESA. This charter sets a framework for industry practices. Additionally, institutional-level discussions are important and they are, thankfully, actively ongoing, because we need policy-making to support sustainable space initiatives.Technological advancements play a crucial role as well. For many years, efforts have been dedicated to developing technologies that can alter the way objects burn up in the atmosphere, thereby reducing space debris and mitigating the impact on the Earth's environment.Clear and effective regulatory frameworks are needed to ensure compliance and to promote widespread private adoption of sustainable practices. Another aspect worth mentioning is that space sustainability has to be recognized as a domain of strategic interest. Only then can it get the necessary attention, resources, support, and bring meaningful changes to the space sector, and all the sectors connected to it, because we also have downstream companies, like telecom, data science centers, farmers, etc.","First, the value is in the capability to identify pattern changes in orbits and track objects in orbit. It is difficult to say whether this is sufficient to build a business. It would be very hard to find customers. You should start with the question: “What are we doing and who are we doing it for?”. From my perspective, what you are doing relates to security and defense, so this might be your starting point. The next question is: “What differentiates you from the others?”. There already exist companies working on SSA, tracking and surveillance. Once you have pinpointed your value proposition to the market, you can address ESA, because they are actively identifying future technological needs."
23,"Neither. There are enough problems on Earth, we need to solve them first. If we didn’t finance space activities, we could have allocated this money to other, more pressing needs. How to make space sustainable? Stop all space activities altogether.","Space sustainability technologies are crazy ideas. They are unnecessary and not economically viable. The Internet can be done on earth without the use of space technologies. Natural disaster prediction cannot be done without space, but we can live without it, like we have always lived. Casualties from natural catastrophes are inevitable, people die, and it's the natural order of things. Space tech is unnecessary, and sustainable space tech even more so. There is now no need and no urgency. Maybe in 100 years, it all will be more relevant.",
24,"Surely not the private companies. Governments may invest some resources, but not anytime soon, because it is not the most urgent matter.","The market will only be ready to adopt something when there is an absolutely pressing need, and this is not the case with sustainable space tech. Therefore, as of today, there is 0 commercial potential. Will there be some? In the near future, no. It is hard to tell for sure what the market will be like in decades or centuries, but there is a slim possibility that such a need will arise at some point, because space exploration is not a necessity itself. It is surely interesting, but the market is more (literally) down-to-the-ground.",
25,"It should be partially states and partially private companies. Especially the big and rich companies, like SpaceX. And they are already doing something in this direction, for example, reusable launchers.","Certainly, there is potential for the adoption of sustainable space technologies by private companies; there is a market for it because sustainability also means fewer risks, and companies are generally willing to pay for reducing their risks. At least, I am judging from the perspective of terrestrial industries, where risk mitigation is an important aspect, and I do not see why the space sector would be different.In order to be adopted by private companies, such technologies must be affordable. Also, the laws must change. Regulations are the main driver. We have the same thing in the cement industry. Overall, the technologies must be reliable, safe and affordable.",
26,"States active in space exploration. Why? For a good image, like in any other sustainable tech initiative. As for the states which are not major players in the space sector, it would be next to impossible to incentivize them to partake in sustainable space initiative, since they would not feel the weight of responsibility for their prior activities and they would not see much use in it, since they are not actively exploiting space and rely on the space-based services provided by other countries. Also, a tax should be introduced on all space-dependent services, such as GPS. Given the number of users, such a tax would be infinitesimal for one user, but tangible enough, when accumulated, to finance sustainable space solutions and enable continuous functioning of such services. In other words, every space-active company should pay a ‘sustainability tax’, and that tax should be relayed onto users.","These are technologies on demand. So, the main factor for a private company to be interested in such a technology, is an urgent and important need, like collision avoidance or decision to which orbit to go. But private companies will never fully invest in such a technology, because the financial burden would not justify the occasional need. Sustainable space technologies would not be fully commercially viable, therefore, there will always be the need for governmental subsidies.","A potentially interesting and viable model is XaaS. When the government/space agencies bear the costs of the development of a sustainable space technology, and then rent it out to companies, other states on demand. For example, in the case of the BRIDGE project, EPFL will remain the owner of the tech/software/repository, and organizations/companies/agencies could rent it when they need it."
